File,Model,Verdict,Exact Duplicates,Fuzzy Duplicates,Max Pattern Sequence,Entry Count,Anchor Coverage,Summary
Claude Sonnet 4.5 LIST 6 (January 14, 2026).txt,Claude Sonnet 4.5,FAIL,10,18,58,1000,43/43,"Issues: 10 exact duplicates; pattern collapse (max 58)"
Claude Sonnet 4.5 LIST 7 (January 14, 2026).txt,Claude Sonnet 4.5,FAIL,6,9,59,1000,43/43,"Issues: 6 exact duplicates; pattern collapse (max 59)"
Claude Sonnet 4.5 LIST 8 (January 14, 2026).txt,Claude Sonnet 4.5,FAIL,7,3,85,1000,42/43,"Issues: 7 exact duplicates; pattern collapse (max 85)"
DeepSeek V3.2 LIST 4 (January 14, 2026).txt,DeepSeek V3.2,FAIL,317,7,39,1000,42/43,"Issues: 317 exact duplicates; pattern collapse (max 39)"
DeepSeek V3.2 LIST 5 (January 18, 2026).txt,DeepSeek V3.2,FAIL,645,13,711,1000,41/43,"Issues: 645 exact duplicates; pattern collapse (max 711)"
Deepseek v3.2 LIST 1 (January 13, 2026).txt,Deepseek v3.2,FAIL,428,3,25,1000,42/43,"Issues: 428 exact duplicates; pattern collapse (max 25)"
Deepseek v3.2 LIST 2 (January 14, 2026).txt,Deepseek v3.2,FAIL,625,4,14,1000,43/43,"Issues: 625 exact duplicates; pattern collapse (max 14)"
Deepseek v3.2 LIST 3 (January 14, 2026).txt,Deepseek v3.2,FAIL,689,6,10,1000,43/43,"Issues: 689 exact duplicates; pattern collapse (max 10)"
GEMINI FLASH 3 PREVIEW LIST 1 (January 12, 2025).txt,GEMINI FLASH 3 PREVIEW,FAIL,204,5,0,1026,42/43,"Issues: 204 exact duplicates; 1026 entries (expected 1000); non-sequential ranks"
GEMINI FLASH 3 PREVIEW LIST 2 (January 12, 2025).txt,GEMINI FLASH 3 PREVIEW,FAIL,267,11,11,1000,43/43,"Issues: 267 exact duplicates; pattern collapse (max 11)"
GEMINI FLASH 3 PREVIEW LIST 3 (January 12, 2025).txt,GEMINI FLASH 3 PREVIEW,FAIL,303,21,22,1000,42/43,"Issues: 303 exact duplicates; pattern collapse (max 22)"
GEMINI FLASH 3 PREVIEW LIST 4 (January 12, 2025).txt,GEMINI FLASH 3 PREVIEW,FAIL,172,12,31,1000,42/43,"Issues: 172 exact duplicates; pattern collapse (max 31)"
GEMINI FLASH 3 PREVIEW LIST 5 (January 12, 2025).txt,GEMINI FLASH 3 PREVIEW,FAIL,132,8,12,1000,42/43,"Issues: 132 exact duplicates; pattern collapse (max 12)"
GEMINI PRO 3 LIST 1 (January 12, 2025).txt,GEMINI PRO 3,FAIL,21,20,14,1028,43/43,"Issues: 21 exact duplicates; pattern collapse (max 14); 1028 entries (expected 1000); non-sequential ranks"
GEMINI PRO 3 LIST 2 (January 12, 2025).txt,GEMINI PRO 3,FAIL,55,31,56,1000,43/43,"Issues: 55 exact duplicates; pattern collapse (max 56)"
GEMINI PRO 3 LIST 3 (January 13, 2025).txt,GEMINI PRO 3,FAIL,14,11,23,1017,42/43,"Issues: 14 exact duplicates; pattern collapse (max 23); 1017 entries (expected 1000); non-sequential ranks"
GEMINI PRO 3 LIST 4 (January 13, 2025).txt,GEMINI PRO 3,FAIL,6,19,5,1004,43/43,"Issues: 6 exact duplicates; 1004 entries (expected 1000); non-sequential ranks"
GEMINI PRO 3 LIST 5 (January 13, 2025).txt,GEMINI PRO 3,FAIL,8,16,220,1003,42/43,"Issues: 8 exact duplicates; pattern collapse (max 220); 1003 entries (expected 1000); non-sequential ranks"
GLM 
  4.7 LIST 1 (January 18, 2026).txt,unknown,FAIL,285,10,512,1000,41/43,"Issues: 285 exact duplicates; pattern collapse (max 512)"
GPT 5.2 Thinking LIST 1 (January 12, 2025).txt,GPT 5.2 Thinking,WARN,43,31,10,1000,42/43,"Issues: 43 exact duplicates; pattern collapse (max 10)"
GPT 5.2 Thinking LIST 2 (January 12, 2025).txt,GPT 5.2 Thinking,FAIL,6,10,10,500,42/43,"Issues: 6 exact duplicates; pattern collapse (max 10); 500 entries (expected 1000)"
GPT 5.2 Thinking LIST 3 (January 12, 2025).txt,GPT 5.2 Thinking,FAIL,1,51,0,777,43/43,"Issues: 1 exact duplicates; 777 entries (expected 1000); non-sequential ranks"
GPT 5.2 Thinking LIST 4 (January 12, 2025).txt,GPT 5.2 Thinking,FAIL,3,133,10,1026,43/43,"Issues: 3 exact duplicates; pattern collapse (max 10); 1026 entries (expected 1000); non-sequential ranks"
GPT 5.2 Thinking LIST 5 (January 13, 2025).txt,GPT 5.2 Thinking,FAIL,255,27,0,1000,43/43,"Issues: 255 exact duplicates"
GPT 5.2 Thinking LIST 6 (January 13, 2025).txt,GPT 5.2 Thinking,FAIL,255,27,0,1000,43/43,"Issues: 255 exact duplicates"
GPT 5.2 Thinking LIST 7 (January 13, 2025).txt,GPT 5.2 Thinking,FAIL,3,134,10,1027,43/43,"Issues: 3 exact duplicates; pattern collapse (max 10); 1027 entries (expected 1000); non-sequential ranks"
GPT-5.2 Thinking LIST 8 (January 14, 2026).txt,GPT-5.2 Thinking,PASS,1,82,0,1000,43/43,"List passes all quality checks"
Gemini PRO 3 LIST 6 (January 14, 2026).txt,Gemini PRO 3,FAIL,474,6,0,1000,39/43,"Issues: 474 exact duplicates"
Gemini PRO 3 LIST 7 (January 14, 2026).txt,Gemini PRO 3,FAIL,225,21,18,1000,43/43,"Issues: 225 exact duplicates; pattern collapse (max 18)"
Glm 4.7 LIST 1 (January 14, 2026).txt,Glm 4.7,FAIL,508,9,0,1000,39/43,"Issues: 508 exact duplicates"
Glm 4.7 LIST 2 (January 14, 2026).txt,Glm 4.7,FAIL,91,29,40,1000,42/43,"Issues: 91 exact duplicates; pattern collapse (max 40)"
Glm 4.7 LIST 3 (January 14, 2026).txt,Glm 4.7,FAIL,76,105,22,1000,40/43,"Issues: 76 exact duplicates; pattern collapse (max 22)"
Grok 4 LIST 1 (January 14, 2026).txt,Grok 4,FAIL,86,97,107,1000,41/43,"Issues: 86 exact duplicates; pattern collapse (max 107)"
Grok 4 LIST 2 (January 14, 2026).txt,Grok 4,FAIL,93,8,246,1000,43/43,"Issues: 93 exact duplicates; pattern collapse (max 246)"
Grok 4 LIST 3 (January 14, 2026).txt,Grok 4,FAIL,115,87,17,1000,41/43,"Issues: 115 exact duplicates; pattern collapse (max 17)"
Grok 4 LIST 4 (January 14, 2026).txt,Grok 4,FAIL,162,11,29,1000,42/43,"Issues: 162 exact duplicates; pattern collapse (max 29)"
Grok 4 LIST 5 (January 15, 2026).txt,Grok 4,WARN,22,32,25,1000,41/43,"Issues: 22 exact duplicates; pattern collapse (max 25)"
Grok 4.1 Fast LIST 7 (January 15, 2026).txt,Grok 4.1 Fast,WARN,32,27,21,1000,43/43,"Issues: 32 exact duplicates; pattern collapse (max 21)"
Grok 4.1-fast LIST 1 (January 14, 2026).txt,Grok 4.1-fast,FAIL,480,8,97,1000,43/43,"Issues: 480 exact duplicates; pattern collapse (max 97)"
Grok 4.1-fast LIST 2 (January 14, 2026).txt,Grok 4.1-fast,FAIL,449,9,10,1000,42/43,"Issues: 449 exact duplicates; pattern collapse (max 10)"
Grok 4.1-fast LIST 3 (January 14, 2026).txt,Grok 4.1-fast,FAIL,501,11,10,1000,43/43,"Issues: 501 exact duplicates; pattern collapse (max 10)"
Grok 4.1-fast LIST 4 (January 14, 2026).txt,Grok 4.1-fast,FAIL,419,15,0,1000,43/43,"Issues: 419 exact duplicates"
Grok 4.1-fast LIST 5 (January 15, 2026).txt,Grok 4.1-fast,FAIL,53,61,88,1000,43/43,"Issues: 53 exact duplicates; pattern collapse (max 88)"
Grok 4.1-fast LIST 6 (January 15, 2026).txt,Grok 4.1-fast,WARN,31,184,27,1000,39/43,"Issues: 31 exact duplicates; pattern collapse (max 27)"
Mistral Large 3 LIST 1 (January 15, 2026).txt,Mistral Large 3,FAIL,266,11,86,1000,37/43,"Issues: 266 exact duplicates; pattern collapse (max 86); 6 missing anchors"
Mistral Large 3 LIST 2 (January 15, 2026).txt,Mistral Large 3,FAIL,175,69,334,1000,39/43,"Issues: 175 exact duplicates; pattern collapse (max 334)"
Mistral Large 3 LIST 3 (January 16, 2026).txt,Mistral Large 3,FAIL,467,3,571,1000,40/43,"Issues: 467 exact duplicates; pattern collapse (max 571)"
Mistral Large 3 LIST 4 (January 17, 2026).txt,Mistral Large 3,FAIL,362,3,81,1000,36/43,"Issues: 362 exact duplicates; pattern collapse (max 81); 7 missing anchors"
Mistral Large 3 LIST 5 (January 18, 2026).txt,Mistral Large 3,FAIL,107,7,570,1000,30/43,"Issues: 107 exact duplicates; pattern collapse (max 570); 10 missing anchors"
Qwen3 235B A22B LIST 3 (January 18, 2026).txt,Qwen3 235B A22B,FAIL,306,46,24,1000,42/43,"Issues: 306 exact duplicates; pattern collapse (max 24)"
Qwen3 235b A22b LIST 1 (January 18, 2026).txt,Qwen3 235b A22b,FAIL,733,4,12,1000,41/43,"Issues: 733 exact duplicates; pattern collapse (max 12)"
Qwen3 235b A22b LIST 2 (January 18, 2026).txt,Qwen3 235b A22b,FAIL,920,1,0,1000,32/43,"Issues: 920 exact duplicates; 10 missing anchors"
Qwen3 LIST 1 (January 13, 2026).txt,Qwen3,FAIL,502,9,17,1000,40/43,"Issues: 502 exact duplicates; pattern collapse (max 17)"
Qwen3 LIST 2 (January 13, 2026).txt,Qwen3,FAIL,259,64,11,1000,39/43,"Issues: 259 exact duplicates; pattern collapse (max 11)"
Qwen3 LIST 3 (January 14, 2026).txt,Qwen3,FAIL,452,38,24,1000,34/43,"Issues: 452 exact duplicates; pattern collapse (max 24); 9 missing anchors"
