rank,id,name,dataDrivenScore,contributingModels,coveragePct
48,jean-jacques-rousseau,Jean-Jacques Rousseau,82.9935,13,1
49,michael-faraday,Michael Faraday,85.8943,13,1
50,avicenna,Avicenna,87.0312,13,1
51,thomas-jefferson,Thomas Jefferson,87.1359,13,1
52,james-clerk-maxwell,James Clerk Maxwell,90.8829,13,1
53,nelson-mandela,Nelson Mandela,93.3419,13,1
54,laozi,Laozi,93.6558,13,1
55,nikola-tesla,Nikola Tesla,103.5937,13,1
56,elizabeth-i-of-england,Elizabeth I of England,104.6869,13,1
57,akbar,Akbar,105.6241,13,1
58,euclid,Euclid,105.8748,12,0.9231
59,otto-von-bismarck,Otto von Bismarck,112.5099,13,1
60,homer,Homer,114.4835,13,1
61,werner-heisenberg,Werner Heisenberg,117.2164,13,1
62,gregor-mendel,Gregor Mendel,117.8579,13,1
63,thomas-aquinas,Thomas Aquinas,121.7283,13,1
64,henry-ford,Henry Ford,122.3242,13,1
65,franklin-d-roosevelt,Franklin D. Roosevelt,123.8146,13,1
66,peter-the-great,Peter the Great,123.8366,13,1
67,michelangelo,Michelangelo,124.03,13,1
68,ludwig-van-beethoven,Ludwig van Beethoven,127.7799,13,1
69,hammurabi,Hammurabi,129.463,13,1
70,catherine-the-great,Catherine the Great,135.7962,13,1
71,wright-brothers,Wright Brothers,136.5051,13,1
72,max-planck,Max Planck,136.9452,13,1
73,suleiman-the-magnificent,Suleiman the Magnificent,139.0804,13,1
74,dante-alighieri,Dante Alighieri,139.5203,13,1
75,alan-turing,Alan Turing,139.7106,13,1
76,zoroaster,Zoroaster,145.4987,13,1
77,archimedes,Archimedes,146.0853,12,0.9231
78,johann-sebastian-bach,Johann Sebastian Bach,146.2846,13,1
79,justinian-i,Justinian I,148.5694,13,1
80,niels-bohr,Niels Bohr,151.1219,13,1
81,sim-n-bol-var,Simón Bolívar,153.5395,12,0.9231
82,antoine-lavoisier,Antoine Lavoisier,155.0806,13,1
83,hippocrates,Hippocrates,155.3638,13,1
84,john-calvin,John Calvin,167.1733,13,1
85,tim-berners-lee,Tim Berners-Lee,167.5146,13,1
86,edward-jenner,Edward Jenner,170.2383,13,1
87,alexander-graham-bell,Alexander Graham Bell,174.3143,13,1
88,dmitri-mendeleev,Dmitri Mendeleev,174.8561,13,1
89,martin-luther-king-jr,Martin Luther King Jr.,175.4724,13,1
90,muhammad-ibn-musa-al-khwarizmi,Muhammad ibn Musa al-Khwarizmi,175.729,12,0.9231
91,wolfgang-amadeus-mozart,Wolfgang Amadeus Mozart,177.1253,13,1
92,francis-bacon,Francis Bacon,180.1165,12,0.9231
93,alexander-fleming,Alexander Fleming,180.9045,12,0.9231
94,cyrus-the-great,Cyrus the Great,181.437,12,0.9231
95,vasco-da-gama,Vasco da Gama,186.1101,12,0.9231
96,enrico-fermi,Enrico Fermi,190.8189,13,1
97,mikhail-gorbachev,Mikhail Gorbachev,196.1518,13,1
98,hern-n-cort-s,Hernán Cortés,196.3344,12,0.9231
99,pythagoras,Pythagoras,196.3701,12,0.9231
100,david-hume,David Hume,196.5764,13,1
101,queen-victoria,Queen Victoria,197.5271,13,1
102,friedrich-nietzsche,Friedrich Nietzsche,198.0396,13,1
103,guglielmo-marconi,Guglielmo Marconi,200.3592,13,1
104,saladin,Saladin,202.6687,12,0.9231
105,leo-tolstoy,Leo Tolstoy,205.4071,13,1
106,augustine-of-hippo,Augustine of Hippo,207.9954,13,1
107,sun-tzu,Sun Tzu,208.4955,13,1
108,john-maynard-keynes,John Maynard Keynes,211.8019,13,1
109,louis-xiv-of-france,Louis XIV of France,218.7154,12,0.9231
110,ferdinand-magellan,Ferdinand Magellan,220.7279,12,0.9231
111,marco-polo,Marco Polo,220.9504,12,0.9231
112,miguel-de-cervantes,Miguel de Cervantes,221.6622,13,1
113,johannes-kepler,Johannes Kepler,222.9011,12,0.9231
114,niccol-machiavelli,Niccolò Machiavelli,224.864,12,0.9231
115,deng-xiaoping,Deng Xiaoping,227.94,13,1
116,j-robert-oppenheimer,J. Robert Oppenheimer,230.6475,13,1
117,florence-nightingale,Florence Nightingale,232.2585,13,1
118,guru-nanak,Guru Nanak,232.4073,13,1
119,kublai-khan,Kublai Khan,234.3388,13,1
120,ibn-khaldun,Ibn Khaldun,234.9216,12,0.9231
121,william-harvey,William Harvey,234.9775,13,1
122,ho-chi-minh,Ho Chi Minh,236.0337,13,1
123,thomas-hobbes,Thomas Hobbes,236.8116,13,1
124,zheng-he,Zheng He,237.4841,12,0.9231
125,john-stuart-mill,John Stuart Mill,238.0601,13,1
126,rumi,Rumi,239.9372,13,1
127,fyodor-dostoevsky,Fyodor Dostoevsky,240.0928,13,1
128,francisco-pizarro,Francisco Pizarro,241.1286,12,0.9231
129,joseph-lister,Joseph Lister,243.2535,13,1
130,ada-lovelace,Ada Lovelace,246.4897,13,1
131,sun-yat-sen,Sun Yat-sen,246.8011,12,0.9231
132,oliver-cromwell,Oliver Cromwell,250.6664,12,0.9231
133,jawaharlal-nehru,Jawaharlal Nehru,253.535,13,1
134,william-the-conqueror,William the Conqueror,253.8525,12,0.9231
135,averroes,Averroes,254.0949,12,0.9231
136,john-von-neumann,John von Neumann,254.2515,13,1
137,maimonides,Maimonides,255.104,13,1
138,leonhard-euler,Leonhard Euler,255.2803,12,0.9231
139,cai-lun,Cai Lun,255.3011,11,0.8462
140,mustafa-kemal-atat-rk,Mustafa Kemal Atatürk,259.1621,13,1
141,herodotus,Herodotus,262.9886,12,0.9231
142,antonie-van-leeuwenhoek,Antonie van Leeuwenhoek,264.311,12,0.9231
143,philip-ii-of-spain,Philip II of Spain,264.9814,12,0.9231
144,robert-koch,Robert Koch,266.803,13,1
145,charles-babbage,Charles Babbage,267.1577,12,0.9231
146,francis-crick,Francis Crick,268.2623,13,1
147,pablo-picasso,Pablo Picasso,269.2999,13,1
148,thucydides,Thucydides,269.9253,12,0.9231
149,steve-jobs,Steve Jobs,270.2269,12,0.9231
150,montesquieu,Montesquieu,271.6046,12,0.9231
151,gottfried-wilhelm-leibniz,Gottfried Wilhelm Leibniz,273.7343,12,0.9231
152,attila-the-hun,Attila the Hun,275.3982,12,0.9231
153,mary-wollstonecraft,Mary Wollstonecraft,275.4401,12,0.9231
154,virgil,Virgil,276.6083,13,1
155,pericles,Pericles,277.2927,12,0.9231
156,james-watson,James Watson,277.6873,13,1
157,harriet-tubman,Harriet Tubman,278.6087,12,0.9231
158,woodrow-wilson,Woodrow Wilson,279.4062,13,1
159,bill-gates,Bill Gates,279.7029,12,0.9231
160,mehmed-ii,Mehmed II,280.0926,13,1
161,benjamin-franklin,Benjamin Franklin,281.3289,13,1
162,ramesses-ii,Ramesses II,281.9828,11,0.8462
163,georg-wilhelm-friedrich-hegel,Georg Wilhelm Friedrich Hegel,285.7554,12,0.9231
164,mansa-musa,Mansa Musa,285.8825,12,0.9231
165,timur,Timur,286.8019,12,0.9231
166,ignatius-of-loyola,Ignatius of Loyola,289.8313,13,1
167,tokugawa-ieyasu,Tokugawa Ieyasu,289.9085,11,0.8462
168,emperor-meiji,Emperor Meiji,290.188,11,0.8462
169,ronald-reagan,Ronald Reagan,292.9726,12,0.9231
170,susan-b-anthony,Susan B. Anthony,293.0367,13,1
171,blaise-pascal,Blaise Pascal,294.9597,11,0.8462
172,margaret-thatcher,Margaret Thatcher,298.002,13,1
173,galen,Galen,298.3911,12,0.9231
174,rosalind-franklin,Rosalind Franklin,298.9612,13,1
175,andreas-vesalius,Andreas Vesalius,299.1019,13,1
176,fidel-castro,Fidel Castro,302.089,12,0.9231
177,rabindranath-tagore,Rabindranath Tagore,303.7672,13,1
178,hannibal-barca,Hannibal Barca,304.0937,12,0.9231
179,simone-de-beauvoir,Simone de Beauvoir,306.7593,13,1
180,ibn-battuta,Ibn Battuta,308.4164,12,0.9231
181,mother-teresa,Mother Teresa,309.0039,13,1
182,stephen-hawking,Stephen Hawking,309.3768,13,1
183,rosa-parks,Rosa Parks,310.0015,13,1
184,richard-feynman,Richard Feynman,310.7423,13,1
185,che-guevara,Che Guevara,311.2938,12,0.9231
186,darius-i,Darius I,312.1261,12,0.9231
187,erwin-schr-dinger,Erwin Schrödinger,312.4512,13,1
188,jeremy-bentham,Jeremy Bentham,313.2564,12,0.9231
189,toussaint-louverture,Toussaint Louverture,313.6048,12,0.9231
190,rachel-carson,Rachel Carson,314.7427,13,1
191,claude-shannon,Claude Shannon,314.7818,13,1
192,s-ren-kierkegaard,Søren Kierkegaard,314.8145,13,1
193,thomas-malthus,Thomas Malthus,315.0915,12,0.9231
194,marcus-aurelius,Marcus Aurelius,315.6699,12,0.9231
195,baruch-spinoza,Baruch Spinoza,316.4831,11,0.8462
196,babur,Babur,316.9823,12,0.9231
197,john-f-kennedy,John F. Kennedy,317.6255,11,0.8462
198,haile-selassie,Haile Selassie,317.8633,12,0.9231
199,noam-chomsky,Noam Chomsky,318.3533,13,1
200,frederick-douglass,Frederick Douglass,318.53,12,0.9231
201,dwight-d-eisenhower,Dwight D. Eisenhower,318.5878,12,0.9231
202,charles-dickens,Charles Dickens,319.0436,12,0.9231
203,john-dalton,John Dalton,319.9833,12,0.9231
204,wernher-von-braun,Wernher von Braun,320.4465,13,1
205,charles-de-gaulle,Charles de Gaulle,321.0649,13,1
206,james-cook,James Cook,323.0568,12,0.9231
207,ernest-rutherford,Ernest Rutherford,324.5205,12,0.9231
208,rembrandt,Rembrandt,326.6361,13,1
209,ivan-the-terrible,Ivan the Terrible,326.6759,12,0.9231
210,yuri-gagarin,Yuri Gagarin,327.4932,13,1
211,max-weber,Max Weber,328.196,13,1
212,frederick-the-great,Frederick the Great,328.2086,11,0.8462
213,shaka-zulu,Shaka Zulu,328.9366,11,0.8462
214,neil-armstrong,Neil Armstrong,329.0043,13,1
215,richard-the-lionheart,Richard the Lionheart,329.2616,12,0.9231
216,cicero,Cicero,330.1171,12,0.9231
217,empress-wu-zetian,Empress Wu Zetian,330.2772,11,0.8462
218,alfred-the-great,Alfred the Great,332.211,11,0.8462
219,giuseppe-garibaldi,Giuseppe Garibaldi,332.4244,12,0.9231
220,alfred-nobel,Alfred Nobel,332.6794,12,0.9231
221,emmeline-pankhurst,Emmeline Pankhurst,333.1046,12,0.9231
222,ayatollah-khomeini,Ayatollah Khomeini,333.8698,12,0.9231
223,raphael,Raphael,334.3123,13,1
224,isabella-i-of-castile,Isabella I of Castile,334.6963,12,0.9231
225,jonas-salk,Jonas Salk,334.9567,12,0.9231
226,johann-wolfgang-von-goethe,Johann Wolfgang von Goethe,335.7068,11,0.8462
227,sima-qian,Sima Qian,336.1288,12,0.9231
228,milton-friedman,Milton Friedman,337.0707,12,0.9231
229,samuel-morse,Samuel Morse,337.6217,11,0.8462
230,grace-hopper,Grace Hopper,337.8655,13,1
231,mencius,Mencius,338.5347,11,0.8462
232,richard-wagner,Richard Wagner,339.0288,13,1
233,vincent-van-gogh,Vincent van Gogh,339.9238,12,0.9231
234,chandragupta-maurya,Chandragupta Maurya,340.8242,12,0.9231
235,carl-linnaeus,Carl Linnaeus,341.5728,11,0.8462
236,mahavira,Mahavira,341.6722,12,0.9231
237,mile-durkheim,Émile Durkheim,342.7839,13,1
238,cleopatra-vii,Cleopatra VII,342.8528,11,0.8462
239,murasaki-shikibu,Murasaki Shikibu,344.4463,13,1
240,geoffrey-chaucer,Geoffrey Chaucer,345.1239,12,0.9231
241,jean-paul-sartre,Jean-Paul Sartre,348.4653,13,1
242,mark-twain,Mark Twain,348.6164,12,0.9231
243,sargon-of-akkad,Sargon of Akkad,352.7395,11,0.8462
244,norman-borlaug,Norman Borlaug,354.7869,12,0.9231
245,james-madison,James Madison,355.3123,11,0.8462
246,theodore-roosevelt,Theodore Roosevelt,356.8672,12,0.9231
247,john-wesley,John Wesley,357.1671,13,1
248,hatshepsut,Hatshepsut,357.3997,12,0.9231
249,friedrich-hayek,Friedrich Hayek,357.6489,12,0.9231
250,andrew-carnegie,Andrew Carnegie,359.249,13,1
251,adi-shankara,Adi Shankara,360.936,10,0.7692
252,kwame-nkrumah,Kwame Nkrumah,364.1197,12,0.9231
253,gamal-abdel-nasser,Gamal Abdel Nasser,365.5624,12,0.9231
254,francis-of-assisi,Francis of Assisi,366.201,11,0.8462
255,sundiata-keita,Sundiata Keita,366.8362,11,0.8462
256,al-ghazali,Al-Ghazali,368.0258,11,0.8462
257,hirohito,Hirohito,368.5815,12,0.9231
258,claude-monet,Claude Monet,369.4735,12,0.9231
259,xerxes-i,Xerxes I,370.2064,12,0.9231
260,eli-whitney,Eli Whitney,370.4322,12,0.9231
261,harry-s-truman,Harry S. Truman,370.6523,11,0.8462
262,jane-austen,Jane Austen,372.5122,12,0.9231
263,joan-of-arc,Joan of Arc,372.8686,10,0.7692
264,elvis-presley,Elvis Presley,372.8775,12,0.9231
265,john-d-rockefeller,John D. Rockefeller,372.9581,12,0.9231
266,vladimir-putin,Vladimir Putin,373.2452,13,1
267,indira-gandhi,Indira Gandhi,373.3389,12,0.9231
268,jose-de-san-martin,Jose de San Martin,373.5155,12,0.9231
269,james-joyce,James Joyce,374.3823,13,1
270,alfred-russel-wallace,Alfred Russel Wallace,375.0992,13,1
271,robespierre,Robespierre,377.1065,11,0.8462
272,desmond-tutu,Desmond Tutu,377.2528,13,1
273,toyotomi-hideyoshi,Toyotomi Hideyoshi,377.8834,11,0.8462
274,virginia-woolf,Virginia Woolf,378.9079,13,1
275,aurangzeb,Aurangzeb,379.0764,12,0.9231
276,malcolm-x,Malcolm X,380.0501,12,0.9231
277,omar-khayyam,Omar Khayyam,381.2174,12,0.9231
278,mark-zuckerberg,Mark Zuckerberg,381.3317,12,0.9231
279,theodosius-i,Theodosius I,381.4195,12,0.9231
280,alexander-hamilton,Alexander Hamilton,382.3679,11,0.8462
281,scipio-africanus,Scipio Africanus,382.7308,11,0.8462
282,golda-meir,Golda Meir,382.9671,12,0.9231
283,franz-kafka,Franz Kafka,384.5993,12,0.9231
284,shivaji,Shivaji,386.0705,12,0.9231
285,bertrand-russell,Bertrand Russell,387.0634,12,0.9231
286,paul-dirac,Paul Dirac,387.6908,12,0.9231
287,pope-john-paul-ii,Pope John Paul II,388.7322,12,0.9231
288,clovis-i,Clovis I,389.3098,12,0.9231
289,ovid,Ovid,389.9769,12,0.9231
290,erasmus,Erasmus,390.0565,12,0.9231
291,hafez,Hafez,391.3412,12,0.9231
292,joseph-smith,Joseph Smith,391.6291,12,0.9231
293,oda-nobunaga,Oda Nobunaga,392.6019,11,0.8462
294,nikita-khrushchev,Nikita Khrushchev,392.6285,11,0.8462
295,tycho-brahe,Tycho Brahe,392.7312,11,0.8462
296,david-ben-gurion,David Ben-Gurion,392.9063,11,0.8462
297,solon,Solon,393.1086,12,0.9231
298,kangxi-emperor,Kangxi Emperor,393.9411,11,0.8462
299,xi-jinping,Xi Jinping,395.1287,12,0.9231
300,robert-boyle,Robert Boyle,396.5785,11,0.8462
301,zhu-xi,Zhu Xi,397.3966,11,0.8462
302,elon-musk,Elon Musk,398.2417,12,0.9231
303,menachem-begin,Menachem Begin,398.3711,12,0.9231
304,igor-stravinsky,Igor Stravinsky,400.0413,13,1
305,larry-page,Larry Page,400.9607,12,0.9231
306,akhenaten,Akhenaten,400.9801,11,0.8462
307,shah-jahan,Shah Jahan,401.2622,12,0.9231
308,george-orwell,George Orwell,402.3718,12,0.9231
309,sitting-bull,Sitting Bull,403.0742,11,0.8462
310,bob-dylan,Bob Dylan,403.0781,13,1
311,jeff-bezos,Jeff Bezos,403.9312,12,0.9231
312,theodor-herzl,Theodor Herzl,405.2977,12,0.9231
313,anwar-sadat,Anwar Sadat,405.859,12,0.9231
314,pyotr-ilyich-tchaikovsky,Pyotr Ilyich Tchaikovsky,405.8915,12,0.9231
315,jomo-kenyatta,Jomo Kenyatta,405.9007,12,0.9231
316,michael-jackson,Michael Jackson,406.258,12,0.9231
317,albert-camus,Albert Camus,406.4306,13,1
318,bah-u-ll-h,Bahá'u'lláh,407.5905,11,0.8462
319,sergey-brin,Sergey Brin,408.1862,12,0.9231
320,ludwig-wittgenstein,Ludwig Wittgenstein,408.7692,12,0.9231
321,li-shimin,Emperor Gaozu of Tang,408.9893,10,0.7692
322,maria-theresa,Maria Theresa,409.261,11,0.8462
323,w-e-b-du-bois,W.E.B. Du Bois,409.6238,13,1
324,camillo-di-cavour,Camillo di Cavour,409.867,10,0.7692
325,pol-pot,Pol Pot,410.2277,12,0.9231
326,clara-barton,Clara Barton,410.6499,13,1
327,edwin-hubble,Edwin Hubble,411.47,11,0.8462
328,karl-popper,Karl Popper,413.7758,11,0.8462
329,charles-lyell,Charles Lyell,413.9233,11,0.8462
330,diocletian,Diocletian,414.0214,10,0.7692
331,george-stephenson,George Stephenson,415.5065,11,0.8462
332,saddam-hussein,Saddam Hussein,417.1171,12,0.9231
333,bartolom-de-las-casas,Bartolomé de Las Casas,417.3091,11,0.8462
334,charlie-chaplin,Charlie Chaplin,417.3175,11,0.8462
335,michel-foucault,Michel Foucault,418.0501,13,1
336,chiang-kai-shek,Chiang Kai-shek,418.665,12,0.9231
337,ptolemy,Ptolemy,419.4922,9,0.6923
338,charles-v,Charles V,419.9628,10,0.7692
339,karl-benz,Karl Benz,420.3953,11,0.8462
340,carl-friedrich-gauss,Carl Friedrich Gauss,420.7378,11,0.8462
341,mani,Mani,421.3847,10,0.7692
342,madonna,Madonna,421.5813,12,0.9231
343,david-ricardo,David Ricardo,422.8989,11,0.8462
344,pope-urban-ii,Pope Urban II,424.8728,10,0.7692
345,linus-pauling,Linus Pauling,425.5466,11,0.8462
346,menelik-ii,Menelik II,425.627,11,0.8462
347,thomas-more,Thomas More,426.197,12,0.9231
348,linus-torvalds,Linus Torvalds,427.8359,12,0.9231
349,ernest-hemingway,Ernest Hemingway,428.1502,12,0.9231
350,herbert-spencer,Herbert Spencer,431.6699,12,0.9231
351,benito-mussolini,Benito Mussolini,431.7494,11,0.8462
352,carl-jung,Carl Jung,433.1801,12,0.9231
353,david-livingstone,David Livingstone,434.4119,12,0.9231
354,lee-kuan-yew,Lee Kuan Yew,434.8946,11,0.8462
355,sukarno,Sukarno,436.0057,12,0.9231
356,leif-erikson,Leif Erikson,436.558,11,0.8462
357,sojourner-truth,Sojourner Truth,437.3109,12,0.9231
358,victor-hugo,Victor Hugo,437.4528,10,0.7692
359,umar-ibn-al-khattab,Umar ibn al-Khattab,438.0134,8,0.6154
360,j-p-morgan,J.P. Morgan,438.269,12,0.9231
361,leopold-ii-of-belgium,Leopold II of Belgium,438.7145,10,0.7692
362,seneca-the-younger,Seneca the Younger,438.9894,11,0.8462
363,li-bai,Li Bai,440.1607,12,0.9231
364,eleanor-of-aquitaine,Eleanor of Aquitaine,440.2613,9,0.6923
365,patrice-lumumba,Patrice Lumumba,440.6109,12,0.9231
366,tacitus,Tacitus,442.5473,11,0.8462
367,alfred-wegener,Alfred Wegener,442.6633,11,0.8462
368,napoleon-iii,Napoleon III,443.5366,9,0.6923
369,nebuchadnezzar-ii,Nebuchadnezzar II,444.4935,10,0.7692
370,trajan,Trajan,444.8985,10,0.7692
371,frida-kahlo,Frida Kahlo,447.2622,12,0.9231
372,denis-diderot,Denis Diderot,447.3087,12,0.9231
373,amartya-sen,Amartya Sen,447.8529,12,0.9231
374,jane-goodall,Jane Goodall,448.3843,12,0.9231
375,philip-ii-of-macedon,Philip II of Macedon,448.5155,10,0.7692
376,thomas-paine,Thomas Paine,450.3917,10,0.7692
377,wang-yangming,Wang Yangming,450.8395,11,0.8462
378,b-r-ambedkar,B.R. Ambedkar,450.8812,11,0.8462
379,sappho,Sappho,451.2706,12,0.9231
380,swami-vivekananda,Swami Vivekananda,453.9029,12,0.9231
381,sophocles,Sophocles,454.392,11,0.8462
382,robert-hooke,Robert Hooke,455.1436,11,0.8462
383,julius-nyerere,Julius Nyerere,456.8196,11,0.8462
384,alessandro-volta,Alessandro Volta,457.0053,11,0.8462
385,friedrich-engels,Friedrich Engels,457.0492,11,0.8462
386,giuseppe-verdi,Giuseppe Verdi,457.0938,12,0.9231
387,sergei-korolev,Sergei Korolev,458.6842,11,0.8462
388,otto-i,Otto I,459.9364,10,0.7692
389,pope-francis,Pope Francis,461.4711,12,0.9231
390,ramanuja,Ramanuja,461.5534,9,0.6923
391,walt-disney,Walt Disney,461.9075,11,0.8462
392,kautilya,Chanakya,462.5968,9,0.6923
393,emperor-wu-of-han,Emperor Wu of Han,463.4709,9,0.6923
394,aryabhata,Aryabhata,463.5852,11,0.8462
395,gustavus-adolphus,Gustavus Adolphus,464.1832,10,0.7692
396,du-fu,Du Fu,464.8236,13,1
397,louis-armstrong,Louis Armstrong,466.345,11,0.8462
398,auguste-comte,Auguste Comte,466.4577,11,0.8462
399,osama-bin-laden,Osama bin Laden,466.8778,11,0.8462
400,vint-cerf,Vint Cerf,467.2216,11,0.8462
401,helmut-kohl,Helmut Kohl,468.0224,11,0.8462
402,teresa-of-vila,Teresa of Ávila,469.3103,10,0.7692
403,ibn-al-haytham,Ibn al-Haytham,469.7343,12,0.9231
404,park-chung-hee,Park Chung-hee,470.2662,11,0.8462
405,douglas-macarthur,Douglas MacArthur,470.4906,10,0.7692
406,steven-spielberg,Steven Spielberg,471.6371,11,0.8462
407,leon-trotsky,Leon Trotsky,472.0877,10,0.7692
408,emily-dickinson,Emily Dickinson,472.924,11,0.8462
409,benito-ju-rez,Benito Juárez,473.2614,10,0.7692
410,anton-chekhov,Anton Chekhov,473.934,12,0.9231
411,harun-al-rashid,Harun al-Rashid,473.955,10,0.7692
412,walt-whitman,Walt Whitman,474.1236,11,0.8462
413,chinua-achebe,Chinua Achebe,475.1284,13,1
414,lech-wa-sa,Lech Wałęsa,475.204,10,0.7692
415,c-sar-ch-vez,César Chávez,475.2865,10,0.7692
416,hannah-arendt,Hannah Arendt,476.8028,11,0.8462
417,nagarjuna,Nagarjuna,476.8653,9,0.6923
418,osman-i,Osman I,476.8799,11,0.8462
419,malala-yousafzai,Malala Yousafzai,477.3487,12,0.9231
420,geronimo,Geronimo,477.9894,10,0.7692
421,andrew-jackson,Andrew Jackson,478.0711,10,0.7692
422,jonathan-edwards,Jonathan Edwards,478.258,11,0.8462
423,cecil-rhodes,Cecil Rhodes,478.7645,10,0.7692
424,wilhelm-r-ntgen,Wilhelm Röntgen,479.1734,10,0.7692
425,hadrian,Hadrian,479.6605,10,0.7692
426,livy,Livy,479.9345,10,0.7692
427,brahmagupta,Brahmagupta,480.5672,11,0.8462
428,idi-amin,Idi Amin,481.1251,11,0.8462
429,ferdinand-de-saussure,Ferdinand de Saussure,481.7492,10,0.7692
430,selim-i,Selim I,481.7639,9,0.6923
431,jean-piaget,Jean Piaget,482.1798,12,0.9231
432,ivan-pavlov,Ivan Pavlov,482.2085,13,1
433,jack-ma,Jack Ma,482.6413,12,0.9231
434,srinivasa-ramanujan,Srinivasa Ramanujan,482.8632,11,0.8462
435,muammar-gaddafi,Muammar Gaddafi,483.346,12,0.9231
436,yasser-arafat,Yasser Arafat,483.5772,11,0.8462
437,emiliano-zapata,Emiliano Zapata,483.6776,10,0.7692
438,vaclav-havel,Vaclav Havel,484.2377,11,0.8462
439,boris-yeltsin,Boris Yeltsin,484.3296,10,0.7692
440,antonio-vivaldi,Antonio Vivaldi,484.595,10,0.7692
441,fritz-haber,Fritz Haber,484.6009,11,0.8462
442,dalai-lama,Dalai Lama,484.6431,10,0.7692
443,andy-warhol,Andy Warhol,485.0294,11,0.8462
444,carl-sagan,Carl Sagan,485.314,11,0.8462
445,wilhelm-ii,Wilhelm II,485.5764,9,0.6923
446,fibonacci,Fibonacci,485.6513,9,0.6923
447,zhang-heng,Zhang Heng,485.6775,10,0.7692
448,xuanzang,Xuanzang,486.0474,10,0.7692
449,epicurus,Epicurus,486.546,10,0.7692
450,horace,Horace,487.7042,11,0.8462
451,johannes-brahms,Johannes Brahms,488.3477,11,0.8462
452,dennis-ritchie,Dennis Ritchie,489.2715,11,0.8462
453,yitzhak-rabin,Yitzhak Rabin,489.341,12,0.9231
454,arthur-schopenhauer,Arthur Schopenhauer,489.4282,10,0.7692
455,alfred-hitchcock,Alfred Hitchcock,489.4727,11,0.8462
456,david,David,490.2687,8,0.6154
457,hypatia,Hypatia,490.3734,10,0.7692
458,augusto-pinochet,Augusto Pinochet,490.5528,11,0.8462
459,angela-merkel,Angela Merkel,491.1051,10,0.7692
460,pierre-simon-laplace,Pierre-Simon Laplace,491.5025,11,0.8462
461,barbara-mcclintock,Barbara McClintock,491.6276,11,0.8462
462,muhammad-ali,Muhammad Ali,492.5518,10,0.7692
463,kim-il-sung,Kim Il-sung,493.0689,11,0.8462
464,ali-ibn-abi-talib,Ali ibn Abi Talib,493.2962,8,0.6154
465,roald-amundsen,Roald Amundsen,493.4324,11,0.8462
466,edward-gibbon,Edward Gibbon,494.16,10,0.7692
467,moli-re,Molière,494.8311,11,0.8462
468,louis-xvi,Louis XVI,495.4316,8,0.6154
469,pope-gregory-i,Pope Gregory I,496.2555,9,0.6923
470,euripides,Euripides,496.5797,11,0.8462
471,jorge-luis-borges,Jorge Luis Borges,497.0051,12,0.9231
472,johannes-vermeer,Johannes Vermeer,497.0167,10,0.7692
473,claude-l-vi-strauss,Claude Lévi-Strauss,497.0176,12,0.9231
474,georges-cuvier,Georges Cuvier,497.7452,10,0.7692
