File,Model,Verdict,Exact Duplicates,Fuzzy Duplicates,Max Pattern Sequence,Entry Count,Anchor Coverage,Summary
GPT-5.2 Thinking LIST 5 (January 13, 2025).txt,GPT-5.2 Thinking,FAIL,255,19,0,1000,60/61,"Issues: 255 exact duplicates"
GPT-5.2 Thinking LIST 6 (January 13, 2025).txt,GPT-5.2 Thinking,FAIL,255,19,0,1000,60/61,"Issues: 255 exact duplicates"
GPT-5.2 Thinking LIST 7 (January 13, 2025).txt,GPT-5.2 Thinking,FAIL,3,129,0,1027,60/61,"Issues: 3 exact duplicates; 1027 entries (expected 500 or 1000); non-sequential ranks"
GPT-5.2 Thinking LIST 8 (January 14, 2026).txt,GPT-5.2 Thinking,PASS,1,63,0,1000,60/61,"List passes all quality checks"
GPT-5.2 Thinking LIST 9 (January 19, 2026).txt,GPT-5.2 Thinking,WARN,87,29,0,1000,59/61,"Issues: 87 exact duplicates"
GPT-5.3 Thinking LIST 1 (February 9, 2026).txt,GPT-5.3 Thinking,PASS,0,3,0,500,57/61,"List passes all quality checks"
GPT-5.3 Thinking LIST 2 (February 9, 2026).txt,GPT-5.3 Thinking,WARN,0,1,53,500,56/61,"Issues: pattern collapse (max 53)"
GPT-5.3 Thinking LIST 3 (February 10, 2026).txt,GPT-5.3 Thinking,WARN,0,1,85,500,54/61,"Issues: pattern collapse (max 85)"
GPT-5.3 Thinking LIST 4 (February 10, 2026).txt,GPT-5.3 Thinking,PASS,0,221,12,1000,60/61,"List passes all quality checks"
GPT-5.3 Thinking LIST 5 (February 10, 2026).txt,GPT-5.3 Thinking,FAIL,0,216,843,1000,60/61,"Issues: pattern collapse (max 843)"
GPT-5.3 Thinking LIST 6 (February 10, 2026).txt,GPT-5.3 Thinking,PASS,0,8,10,1000,58/61,"List passes all quality checks"
Gemini Flash 3 Preview LIST 1 (January 12, 2025).txt,Gemini Flash 3 Preview,FAIL,204,4,0,1026,57/61,"Issues: 204 exact duplicates; 1026 entries (expected 500 or 1000); non-sequential ranks"
Gemini Flash 3 Preview LIST 2 (January 12, 2025).txt,Gemini Flash 3 Preview,FAIL,267,7,0,1000,60/61,"Issues: 267 exact duplicates"
Gemini Flash 3 Preview LIST 3 (January 12, 2025).txt,Gemini Flash 3 Preview,FAIL,303,5,20,1000,59/61,"Issues: 303 exact duplicates; pattern collapse (max 20)"
Gemini Flash 3 Preview LIST 4 (January 12, 2025).txt,Gemini Flash 3 Preview,WARN,172,5,17,1000,58/61,"Issues: 172 exact duplicates; pattern collapse (max 17)"
Gemini Flash 3 Preview LIST 5 (January 12, 2025).txt,Gemini Flash 3 Preview,WARN,132,2,0,1000,59/61,"Issues: 132 exact duplicates"
Gemini Flash 3 Preview LIST 6 (January 19, 2026).txt,Gemini Flash 3 Preview,WARN,19,1,58,1000,57/61,"Issues: 19 exact duplicates; pattern collapse (max 58)"
Gemini Flash 3 Preview LIST 7 (January 19, 2026).txt,Gemini Flash 3 Preview,PASS,10,10,24,1000,53/61,"List passes all quality checks"
Gemini Pro 3 LIST 1 (January 12, 2025).txt,Gemini Pro 3,FAIL,21,5,12,1028,59/61,"Issues: 21 exact duplicates; pattern collapse (max 12); 1028 entries (expected 500 or 1000); non-sequential ranks"
Gemini Pro 3 LIST 2 (January 12, 2025).txt,Gemini Pro 3,WARN,55,7,40,1000,59/61,"Issues: 55 exact duplicates; pattern collapse (max 40)"
Gemini Pro 3 LIST 3 (January 13, 2025).txt,Gemini Pro 3,FAIL,14,5,21,1017,58/61,"Issues: 14 exact duplicates; pattern collapse (max 21); 1017 entries (expected 500 or 1000); non-sequential ranks"
Gemini Pro 3 LIST 4 (January 13, 2025).txt,Gemini Pro 3,FAIL,6,5,23,1004,59/61,"Issues: 6 exact duplicates; pattern collapse (max 23); 1004 entries (expected 500 or 1000); non-sequential ranks"
Gemini Pro 3 LIST 5 (January 13, 2025).txt,Gemini Pro 3,FAIL,8,6,218,1003,58/61,"Issues: 8 exact duplicates; pattern collapse (max 218); 1003 entries (expected 500 or 1000); non-sequential ranks"
Gemini Pro 3 LIST 6 (January 14, 2026).txt,Gemini Pro 3,FAIL,474,4,0,1000,55/61,"Issues: 474 exact duplicates"
Gemini Pro 3 LIST 7 (January 14, 2026).txt,Gemini Pro 3,FAIL,225,12,17,1000,59/61,"Issues: 225 exact duplicates; pattern collapse (max 17)"
Grok 4 LIST 1 (January 14, 2026).txt,Grok 4,FAIL,86,17,101,1000,57/61,"Issues: 86 exact duplicates; pattern collapse (max 101)"
Grok 4 LIST 2 (January 14, 2026).txt,Grok 4,FAIL,93,11,219,1000,60/61,"Issues: 93 exact duplicates; pattern collapse (max 219)"
Grok 4 LIST 3 (January 14, 2026).txt,Grok 4,WARN,115,35,12,1000,57/61,"Issues: 115 exact duplicates; pattern collapse (max 12)"
Grok 4 LIST 4 (January 14, 2026).txt,Grok 4,WARN,162,5,35,1000,59/61,"Issues: 162 exact duplicates; pattern collapse (max 35)"
Grok 4 LIST 5 (January 15, 2026).txt,Grok 4,PASS,22,7,30,1000,58/61,"List passes all quality checks"
Grok 4 LIST 6 (January 19, 2026).txt,Grok 4,PASS,9,6,30,1000,58/61,"List passes all quality checks"
Grok 4 LIST 7 (January 19, 2026).txt,Grok 4,PASS,36,2,26,1000,59/61,"List passes all quality checks"
Grok 4.1 Fast LIST 1 (January 14, 2026).txt,Grok 4.1 Fast,FAIL,480,2,95,1000,60/61,"Issues: 480 exact duplicates; pattern collapse (max 95)"
Grok 4.1 Fast LIST 2 (January 14, 2026).txt,Grok 4.1 Fast,FAIL,449,4,0,1000,58/61,"Issues: 449 exact duplicates"
Grok 4.1 Fast LIST 3 (January 14, 2026).txt,Grok 4.1 Fast,FAIL,501,1,0,1000,58/61,"Issues: 501 exact duplicates"
Grok 4.1 Fast LIST 4 (January 14, 2026).txt,Grok 4.1 Fast,FAIL,419,10,0,1000,60/61,"Issues: 419 exact duplicates"
Grok 4.1 Fast LIST 5 (January 15, 2026).txt,Grok 4.1 Fast,WARN,53,3,75,1000,59/61,"Issues: 53 exact duplicates; pattern collapse (max 75)"
Grok 4.1 Fast LIST 6 (January 15, 2026).txt,Grok 4.1 Fast,PASS,31,14,25,1000,55/61,"List passes all quality checks"
Grok 4.1 Fast LIST 7 (January 15, 2026).txt,Grok 4.1 Fast,PASS,32,4,14,1000,60/61,"List passes all quality checks"
Mistral Large 3 LIST 1 (January 15, 2026).txt,Mistral Large 3,FAIL,266,5,65,1000,54/61,"Issues: 266 exact duplicates; pattern collapse (max 65)"
Mistral Large 3 LIST 2 (January 15, 2026).txt,Mistral Large 3,FAIL,175,2,316,1000,55/61,"Issues: 175 exact duplicates; pattern collapse (max 316)"
Mistral Large 3 LIST 3 (January 16, 2026).txt,Mistral Large 3,FAIL,467,0,531,1000,55/61,"Issues: 467 exact duplicates; pattern collapse (max 531)"
Mistral Large 3 LIST 4 (January 17, 2026).txt,Mistral Large 3,FAIL,362,3,73,1000,52/61,"Issues: 362 exact duplicates; pattern collapse (max 73)"
Mistral Large 3 LIST 5 (January 18, 2026).txt,Mistral Large 3,FAIL,107,8,193,1000,43/61,"Issues: 107 exact duplicates; pattern collapse (max 193)"
Qwen3 235B A22B LIST 1 (January 18, 2026).txt,Qwen3 235B A22B,FAIL,733,1,0,1000,57/61,"Issues: 733 exact duplicates"
Qwen3 235B A22B LIST 2 (January 18, 2026).txt,Qwen3 235B A22B,FAIL,920,1,0,1000,47/61,"Issues: 920 exact duplicates"
Qwen3 235B A22B LIST 3 (January 18, 2026).txt,Qwen3 235B A22B,FAIL,306,30,31,1000,58/61,"Issues: 306 exact duplicates; pattern collapse (max 31)"
Qwen3 235B A22B LIST 4 (January 19, 2026).txt,Qwen3 235B A22B,FAIL,356,23,21,1000,59/61,"Issues: 356 exact duplicates; pattern collapse (max 21)"
Qwen3 235B A22B LIST 5 (January 13, 2026).txt,Qwen3 235B A22B,FAIL,502,3,0,1000,56/61,"Issues: 502 exact duplicates"
Qwen3 235B A22B LIST 6 (January 13, 2026).txt,Qwen3 235B A22B,FAIL,259,162,0,1000,55/61,"Issues: 259 exact duplicates"
Qwen3 235B A22B LIST 7 (January 14, 2026).txt,Qwen3 235B A22B,FAIL,452,34,22,1000,47/61,"Issues: 452 exact duplicates; pattern collapse (max 22)"
