3. Gutenberg, Johannes
458. Rogers, Sally
459. Wetherby, Amy
460. Prizant, Barry
461. Greenspan, Stanley
462. Wieder, Serena
463. Gutstein, Steven
464. Wolfberg, Pamela
465. Strain, Phillip
466. Odom, Samuel
467. Schwartz, Ilene
468. Sandall, Susan
469. Wolery, Mark
470. Bricker, Diane
471. Bailey, Donald
472. Ramey, Craig
473. Ramey, Sharon
474. Campbell, Frances
475. Pungello, Elizabeth
476. Sparling, Joseph
477. Wasik, Barbara
478. Barnett, W. Steven
479. Schweinhart, Lawrence
480. Weikart, David
481. Hohmann, Mary
482. Epstein, Ann
483. Montessori, Maria
484. Froebel, Friedrich
485. Pestalozzi, Johann Heinrich
486. Comenius, John Amos
489. Herbart, Johann Friedrich
490. Dewey, John
491. Kilpatrick, William Heard
492. Addams, Jane
493. Counts, George
494. Freire, Paulo
496. Giroux, Henry
497. Apple, Michael
498. Bowles, Samuel
499. Gintis, Herbert
501. Passeron, Jean-Claude
502. Bernstein, Basil
503. Halsey, A.H.
504. Floud, Jean
505. Martin, F.M.
506. Coleman, James
507. Jencks, Christopher
508. Mosteller, Frederick
509. Moynihan, Daniel Patrick
510. Bloom, Benjamin
511. Krathwohl, David
512. Anderson, Lorin
514. Tyler, Ralph
515. Taba, Hilda
516. Schwab, Joseph
517. Stenhouse, Lawrence
518. Eisner, Elliot
519. Greene, Maxine
520. Pinar, William
521. Doll, William
522. Wiggins, Grant
523. McTighe, Jay
524. Marzano, Robert
525. Hattie, John
526. Slavin, Robert
527. Johnson, David
528. Johnson, Roger
529. Aronson, Elliot
530. Kagan, Spencer
531. Sharan, Shlomo
532. Sharan, Yael
533. Kohn, Alfie
534. Ravitch, Diane
535. Kozol, Jonathan
536. Noddings, Nel
537. Palmer, Parker
538. Meier, Deborah
539. Darling-Hammond, Linda
540. Shulman, Lee
541. Grossman, Pam
542. Ball, Deborah
543. Cohen, David
544. Lampert, Magdalene
545. Schön, Donald
546. Brookfield, Stephen
547. Mezirow, Jack
548. Knowles, Malcolm
549. Kolb, David
550. Jarvis, Peter
551. Illeris, Knud
552. Wenger, Etienne
553. Lave, Jean
554. Rogoff, Barbara
556. Leontiev, Alexei
557. Engeström, Yrjö
558. Bruner, Jerome
559. von Glasersfeld, Ernst
561. Inhelder, Bärbel
562. Kamii, Constance
563. Duckworth, Eleanor
564. Papert, Seymour
565. Resnick, Mitchel
566. Turkle, Sherry
567. Prensky, Marc
568. Gee, James Paul
569. Jenkins, Henry
570. Livingstone, Sonia
571. Buckingham, David
572. Hobbs, Renée
573. Silverblatt, Art
574. Potter, W. James
575. Considine, David
576. Tyner, Kathleen
577. Kellner, Douglas
578. Share, Jeff
580. Macedo, Donaldo
581. Lewison, Mitzi
582. Leland, Christine
583. Harste, Jerome
584. Vasquez, Vivian
585. Comber, Barbara
586. Simpson, Anne
587. Souto-Manning, Mariana
588. Paris, Django
589. Ladson-Billings, Gloria
590. Gay, Geneva
591. Irvine, Jacqueline Jordan
592. Villegas, Ana María
593. Lucas, Tamara
594. Nieto, Sonia
595. Sleeter, Christine
596. Grant, Carl
597. Banks, James
598. Banks, Cherry McGee
599. Gorski, Paul
600. Kincheloe, Joe
601. Steinberg, Shirley
602. McLaren, Peter
603. Darder, Antonia
605. Shor, Ira
606. Aronowitz, Stanley
608. Simon, Roger
609. Weiler, Kathleen
610. Ellsworth, Elizabeth
611. Britzman, Debbie
612. Luhmann, Susanne
613. Kumashiro, Kevin
614. Wafer, Jim
615. Epstein, Steven
616. Sedgwick, Eve Kosofsky
618. Warner, Michael
619. Muñoz, José Esteban
620. Ferguson, Roderick
621. Puar, Jasbir
622. Agamben, Giorgio
624. Hardt, Michael
625. Negri, Antonio
626. Virno, Paolo
627. Lazzarato, Maurizio
628. Terranova, Tiziana
629. Castells, Manuel
630. Barabási, Albert-László
631. Watts, Duncan
632. Strogatz, Steven
633. Newman, Mark
634. Granovetter, Mark
635. Burt, Ronald
636. Wellman, Barry
637. White, Harrison
638. Moreno, Jacob
639. Heider, Fritz
640. Festinger, Leon
641. Asch, Solomon
642. Milgram, Stanley
643. Zimbardo, Philip
644. Sherif, Muzafer
645. Tajfel, Henri
646. Turner, John
647. Moscovici, Serge
648. Moscovici, Claudine
649. Petty, Richard
650. Cacioppo, John
651. Cialdini, Robert
652. Chaiken, Shelly
653. Eagly, Alice
654. Wood, Wendy
655. Fazio, Russell
656. Ajzen, Icek
657. Fishbein, Martin
659. Rotter, Julian
660. Weiner, Bernard
661. Kelley, Harold
662. Jones, Edward
663. Nisbett, Richard
664. Ross, Lee
665. Gilovich, Thomas
666. Prentice, Deborah
667. Darley, John
668. Latané, Bibb
669. Piliavin, Jane
670. Piliavin, Irving
671. Batson, C. Daniel
672. Eisenberg, Nancy
673. Hoffman, Martin
674. Gilligan, Carol
675. Kohlberg, Lawrence
676. Turiel, Elliot
677. Nucci, Larry
678. Smetana, Judith
679. Kagan, Jerome
680. Thomas, Alexander
681. Chess, Stella
682. Rothbart, Mary
683. Bates, John
684. Caspi, Avshalom
685. Shiner, Rebecca
686. Roberts, Brent
687. Fraley, Chris
688. Shaver, Phillip
689. Mikulincer, Mario
690. Shaver, Cindy
691. Bowlby, John
692. Ainsworth, Mary
693. Main, Mary
694. Hesse, Erik
695. George, Carol
696. Kaplan, Nancy
697. Crittenden, Patricia
698. Hinde, Robert
699. Sroufe, L. Alan
700. Egeland, Byron
701. Carlson, Elizabeth
702. Cicchetti, Dante
703. Cichetti, Sheree
704. Rutter, Michael
705. Garmezy, Norman
706. Werner, Emmy
707. Smith, Ruth
708. Masten, Ann
709. Luthar, Suniya
710. Wolin, Steven
711. Wolin, Sybil
712. Tedeschi, Richard
713. Calhoun, Lawrence
714. Frankl, Viktor
715. Csikszentmihalyi, Mihaly
716. Seligman, Martin
718. Peterson, Christopher
719. Snyder, C. Rick
720. Duckworth, Angela
721. Dweck, Carol
722. Blackwell, Lisa
723. Yeager, David
724. Walton, Gregory
725. Cohen, Geoffrey
726. Garcia, Joseph
727. Steele, Claude
728. Aronson, Joshua
729. Schmader, Toni
730. Johns, Michael
731. Inzlicht, Michael
732. Kray, Laura
733. Pronin, Emily
740. Slovic, Paul
741. Fischhoff, Baruch
742. Lichtenstein, Sarah
744. Reyna, Valerie
745. Brainerd, Charles
746. Stanovich, Keith
747. West, Richard
748. Evans, Jonathan
751. Epstein, Seymour
752. Sloman, Steven
753. Shafir, Eldar
754. LeBoeuf, Robyn
755. Hastie, Reid
756. Dawes, Robyn
757. Einhorn, Hillel
758. Hogarth, Robin
759. Keeney, Ralph
760. Raiffa, Howard
762. Morgenstern, Oskar
763. Nash, John
764. Schelling, Thomas
765. Axelrod, Robert
768. Maynard Smith, John
769. Price, George
770. Fisher, Ronald
771. Wright, Sewall
772. Haldane, J.B.S.
773. Dobzhansky, Theodosius
775. Simpson, George Gaylord
776. Stebbins, G. Ledyard
777. Eldredge, Niles
780. Williams, George
784. Brentano, Franz
790. Levinas, Emmanuel
796. Žižek, Slavoj
797. Badiou, Alain
798. Rancière, Jacques
878. Cicchetti, Sheree
