3. Gutenberg, Johannes
430. Merton, Robert King
431. Parsons, Talcott
432. Homans, George Caspar
433. Blau, Peter Michael
434. Goffman, Erving
435. Garfinkel, Harold
436. Schutz, Alfred
437. Berger, Peter Ludwig
438. Luckmann, Thomas
445. Malinowski, Bronislaw
446. Radcliffe-Brown, Alfred Reginald
447. Boas, Franz
448. Mead, Margaret
449. Evans-Pritchard, Edward Evan
450. Turner, Victor Witter
451. Douglas, Mary
452. Geertz, Clifford
453. Sahlins, Marshall
454. Harris, Marvin
455. Godelier, Maurice
456. Bloch, Maurice
457. Appadurai, Arjun
458. Latour, Bruno
459. Callon, Michel
460. Law, John
461. Knorr-Cetina, Karin
462. Shapin, Steven
463. Shaffer, Simon
464. Bloor, David
465. Barnes, Barry
466. Collins, Harry
467. Pinch, Trevor
468. Bijker, Wiebe
469. Hughes, Thomas Parke
470. Nye, David E.
471. Schiffer, Michael Brian
472. Binford, Lewis Roberts
473. Clarke, David Leonard
474. Hodder, Ian
475. Shanks, Michael
476. Tilley, Christopher
477. Renfrew, Colin
478. Flannery, Kent V.
479. Childe, Vere Gordon
480. Wheeler, Mortimer
481. Evans, Arthur John
482. Schliemann, Heinrich
483. Petrie, William Matthew Flinders
484. Woolley, Charles Leonard
485. Breasted, James Henry
486. Champollion, Jean-François
487. Rawlinson, Henry Creswicke
488. Grotefend, Georg Friedrich
489. Ventris, Michael
490. Chadwick, John
491. Rosetta, Stone
497. Gibbon, Edward
498. Ranke, Leopold von
499. Michelet, Jules
500. Braudel, Fernand
