id,canonical_name,wikipedia_slug,birth_year,domain,era,llm_consensus_rank,region_macro,region_sub,birth_polity,birth_place,birth_lat,birth_lon
george-washington,George Washington,George_Washington,1732,Politics,Early Modern,42.8,Americas,North America,United States,Westmoreland County,38.11,-76.8
laozi,Laozi,Laozi,-604,Philosophy,Ancient,46.8,Asia,East Asia,Western Zhou,Chu,30.422777777777778,112.17333333333333
antoine-lavoisier,Antoine Lavoisier,Antoine_Lavoisier,1743,Science,Early Modern,48.0,Europe,Western Europe,France,Paris,48.85666666666667,2.352222222222222
socrates,Socrates,Socrates,-470,Philosophy,Classical,50.7,Europe,Southern Europe,Classical Athens,Alopeke,37.95,23.75
gregor-mendel,Gregor Mendel,Gregor_Mendel,1822,Science,Modern,51.8,Europe,Eastern Europe,Czech Republic,Hynčice,49.618888888889,17.835277777778
cyrus-the-great,Cyrus the Great,Cyrus_the_Great,-600,Politics,Ancient,52.2,Asia,Western Asia,Iran,Anshan Persia,30.011666666667,52.407777777778
umar,Umar,Umar,585,Politics,Medieval,52.8,Asia,Western Asia,Saudi Arabia,Mecca,21.4225,39.826111111111
thomas-jefferson,Thomas Jefferson,Thomas_Jefferson,1743,Politics,Early Modern,55.5,Americas,North America,United States,Shadwell,38.0131,-78.3956
john-locke,John Locke,John_Locke,1632,Philosophy,Early Modern,55.8,Europe,Northern Europe,United Kingdom,Wrington,51.3617,-2.7606
nikita-khrushchev,Nikita Khrushchev,Nikita_Khrushchev,1894,Politics,Modern,56.0,Europe,Eastern Europe,Russia,Kalinovka,51.9,34.5
adolf-hitler,Adolf Hitler,Adolf_Hitler,1889,Politics,Modern,56.5,Europe,Western Europe,Austria,Adolf-Hitler-Geburtshaus,48.256388888889,13.036111111111
abraham-lincoln,Abraham Lincoln,Abraham_Lincoln,1809,Politics,Modern,57.3,Americas,North America,United States,Hodgenville,37.571111111111,-85.738611111111
mao-zedong,Mao Zedong,Mao_Zedong,1893,Politics,Modern,59.2,Asia,East Asia,People's Republic of China,Shaoshan,27.91,112.48
ren-descartes,René Descartes,René_Descartes,1596,Philosophy,Early Modern,60.8,Europe,Western Europe,France,Descartes,46.973611111111,0.69777777777778
zoroaster,Zoroaster,Zoroaster,-2000,Religion,Ancient,63.7,Asia,Western Asia,Iran,Ray,35.5975,51.434444444444445
mahatma-gandhi,Mahatma Gandhi,Mahatma_Gandhi,1869,Social Reform,Modern,67.2,Asia,South Asia,India,Porbandar,21.6425,69.604722222222
leonardo-da-vinci,Leonardo da Vinci,Leonardo_da_Vinci,1452,Science,Medieval,67.2,Europe,Southern Europe,Italy,Anchiano,43.799166666667,10.938133333333
sim-n-bol-var,Simón Bolívar,Simón_Bolívar,1783,Politics,Early Modern,67.8,Americas,South America,Venezuela,Birthplace of Simón Bolívar,10.495277777778,-66.916944444444
homer,Homer,Homer,-800,Arts,Ancient,73.0,Asia,Western Asia,Ionian League,,,
vladimir-lenin,Vladimir Lenin,Vladimir_Lenin,1870,Politics,Modern,73.5,Europe,Eastern Europe,Russia,Ulyanovsk,54.316666666667,48.366666666667
avicenna,Avicenna,Avicenna,980,Philosophy,Medieval,73.7,Asia,Central Asia,Uzbekistan,Afshona,39.994444444444,64.379166666667
ludwig-van-beethoven,Ludwig van Beethoven,Ludwig_van_Beethoven,1770,Arts,Early Modern,74.5,Europe,Western Europe,Germany,Bonn,50.735277777777775,7.102222222222222
immanuel-kant,Immanuel Kant,Immanuel_Kant,1724,Philosophy,Early Modern,75.5,Europe,Eastern Europe,Prussia,Königsberg,54.71147222222222,20.509305555555557
voltaire,Voltaire,Voltaire,1694,Arts,Early Modern,78.0,Europe,Western Europe,France,Paris,48.85666666666667,2.352222222222222
vasco-da-gama,Vasco da Gama,Vasco_da_Gama,1460,Exploration,Medieval,78.7,Europe,Southern Europe,Portugal,Sines,37.95472222222222,-8.864166666666666
peter-the-great,Peter the Great,Peter_the_Great,1672,Politics,Early Modern,79.5,Europe,Eastern Europe,Duchy of Moscow,Moscow,55.75055555555556,37.6175
abraham,Abraham,Abraham,-1813,Religion,Ancient,80.0,Asia,Western Asia,Iraq,Ur Kaśdim,,
alexander-graham-bell,Alexander Graham Bell,Alexander_Graham_Bell,1847,Science,Modern,80.2,Europe,Northern Europe,United Kingdom,Edinburgh,55.95333333333333,-3.1891666666666665
marie-curie,Marie Curie,Marie_Curie,1867,Science,Modern,80.7,Europe,Eastern Europe,Poland,Warsaw,52.23,21.011111111111113
jean-jacques-rousseau,Jean-Jacques Rousseau,Jean-Jacques_Rousseau,1712,Philosophy,Early Modern,81.0,Europe,Western Europe,Switzerland,Geneva,46.2,6.15
alexander-fleming,Alexander Fleming,Alexander_Fleming,1881,Science,Modern,81.0,Europe,Northern Europe,United Kingdom,Lochfield,55.647233,-4.2537544
charlemagne,Charlemagne,Charlemagne,748,Politics,Medieval,81.7,Europe,Western Europe,Francia,Francia,47.24,6.02
akbar,Akbar,Akbar,1542,Politics,Early Modern,81.8,Asia,South Asia,Pakistan,Umarkot Fort,25.36361111,69.73388889
francis-bacon,Francis Bacon,Francis_Bacon,1561,Philosophy,Early Modern,83.2,Europe,Northern Europe,United Kingdom,"York House, Strand",51.5081,-0.123333
hern-n-cort-s,Hernán Cortés,Hernán_Cortés,1485,Exploration,Medieval,83.3,Europe,Southern Europe,Spain,Medellín,38.963039,-5.958142
john-dalton,John Dalton,John_Dalton,1766,Science,Early Modern,84.3,Europe,Northern Europe,United Kingdom,Cumberland,54.75,-3
elizabeth-i-of-england,Elizabeth I of England,Elizabeth_I_of_England,1533,Politics,Early Modern,84.5,Europe,Northern Europe,,,,
sigmund-freud,Sigmund Freud,Sigmund_Freud,1856,Other,Modern,85.3,Europe,Eastern Europe,Kingdom of Bohemia,Příbor,49.640926771377,18.145022037352
franklin-d-roosevelt,Franklin D. Roosevelt,Franklin_D._Roosevelt,1882,Politics,Modern,85.5,Americas,North America,United States,Hyde Park,41.78472222222222,-73.93333333333334
henry-ford,Henry Ford,Henry_Ford,1863,Science,Modern,86.7,Americas,North America,United States,Springwells Township,42.316667,-83.15
thomas-aquinas,Thomas Aquinas,Thomas_Aquinas,1225,Philosophy,Medieval,87.2,Europe,Southern Europe,Italy,Roccasecca,41.55,13.666666666667
joseph-stalin,Joseph Stalin,Joseph_Stalin,1879,Politics,Modern,88.5,Asia,Western Asia,Georgia,Gori,41.98168611111111,44.11241666666667
werner-heisenberg,Werner Heisenberg,Werner_Heisenberg,1901,Science,Modern,89.0,Europe,Western Europe,Germany,Würzburg,49.794444444444,9.9294444444444
otto-von-bismarck,Otto von Bismarck,Otto_von_Bismarck,1815,Politics,Modern,89.7,Europe,Western Europe,Germany,Schönhausen (Elbe),52.578611111111,12.039722222222
alan-turing,Alan Turing,Alan_Turing,1912,Science,Modern,91.0,Europe,Northern Europe,United Kingdom,Maida Vale,51.5274,-0.1899
winston-churchill,Winston Churchill,Winston_Churchill,1874,Politics,Modern,92.2,Europe,Northern Europe,United Kingdom,Blenheim Palace,51.8413626656391,-1.36094830755894
john-calvin,John Calvin,John_Calvin,1509,Religion,Early Modern,94.3,Europe,Western Europe,France,Noyon,49.581111111111,2.9988888888889
hammurabi,Hammurabi,Hammurabi,-1810,Politics,Ancient,96.8,Asia,Western Asia,Iraq,Babylonia,32.5,44.5
suleiman-the-magnificent,Suleiman the Magnificent,Suleiman_the_Magnificent,1494,Politics,Medieval,97.8,Asia,Western Asia,Turkey,Trabzon,41.005,39.7225
ernest-rutherford,Ernest Rutherford,Ernest_Rutherford,1871,Science,Modern,106.3,Oceania,Oceania,New Zealand,Nelson,-41.293056,173.238056
nelson-mandela,Nelson Mandela,Nelson_Mandela,1918,Social Reform,Modern,109.3,Africa,Southern Africa,South Africa,Mvezo,-31.95,28.516
galen,Galen,Galen,129,Medicine,Classical,110.0,Asia,Western Asia,Turkey,Pergamon,39.116667,27.183333
dante-alighieri,Dante Alighieri,Dante_Alighieri,1265,Arts,Medieval,111.7,Europe,Southern Europe,Kingdom of Italy,Florence,43.771388888889,11.254166666667
louis-xiv-of-france,Louis XIV of France,Louis_XIV_of_France,1638,Politics,Early Modern,112.8,Europe,Western Europe,,,,
justinian-i,Justinian I,Justinian_I,482,Politics,Classical,113.5,Europe,Southern Europe,Byzantine Empire,Taurision (Serbia),41.89805555555556,21.61138888888889
james-clerk-maxwell,James Clerk Maxwell,James_Clerk_Maxwell,1831,Science,Modern,117.8,Europe,Northern Europe,United Kingdom,Edinburgh,55.95333333333333,-3.1891666666666665
catherine-the-great,Catherine the Great,Catherine_the_Great,1729,Politics,Early Modern,118.8,Europe,Eastern Europe,Kingdom of Prussia,Szczecin,53.424722222222,14.555277777778
muhammad-ibn-musa-al-khwarizmi,Muhammad ibn Musa al-Khwarizmi,Muhammad_ibn_Musa_al-Khwarizmi,780,Science,Medieval,123.0,Asia,Central Asia,,,,
max-planck,Max Planck,Max_Planck,1858,Science,Modern,123.7,Europe,Western Europe,Germany,Kiel,54.323333333333,10.139444444444
ibn-khaldun,Ibn Khaldun,Ibn_Khaldun,1332,Other,Medieval,127.2,Africa,North Africa,Tunisia,Tunis,36.800833333333,10.18
marcus-aurelius,Marcus Aurelius,Marcus_Aurelius,121,Politics,Classical,128.7,Europe,Southern Europe,Italy,Rome,41.893055555556,12.482777777778
montesquieu,Montesquieu,Montesquieu,1689,Philosophy,Early Modern,129.0,Europe,Western Europe,France,Château de la Brède,44.679166666667,-0.54416666666667
gottfried-wilhelm-leibniz,Gottfried Wilhelm Leibniz,Gottfried_Wilhelm_Leibniz,1646,Science,Early Modern,129.3,Europe,Northern Europe,Electorate of Saxony,Leipzig,51.3406321,12.3747329
alfred-nobel,Alfred Nobel,Alfred_Nobel,1833,Science,Modern,130.5,Europe,Northern Europe,Sweden,Stockholm,59.329444444444,18.068611111111
saladin,Saladin,Saladin,1138,Politics,Medieval,131.3,Asia,Western Asia,Iraq,Tikrit Castle,34.601684,43.693905
timur,Timur,Timur,1336,Other,Medieval,131.5,Asia,Central Asia,Uzbekistan,Shahrisabz,39.05,66.833333333333
niels-bohr,Niels Bohr,Niels_Bohr,1885,Science,Modern,132.3,Europe,Northern Europe,Denmark,Copenhagen,55.676111111111,12.568888888889
blaise-pascal,Blaise Pascal,Blaise_Pascal,1623,Science,Early Modern,133.5,Europe,Western Europe,France,Clermont-Ferrand,45.779722222222,3.0869444444444
johannes-kepler,Johannes Kepler,Johannes_Kepler,1571,Science,Early Modern,137.8,Europe,Western Europe,Germany,Weil der Stadt,48.750833333333,8.8705555555556
john-maynard-keynes,John Maynard Keynes,John_Maynard_Keynes,1883,Economics,Modern,138.0,Europe,Northern Europe,United Kingdom,Cambridge,52.208055555556,0.1225
augustine-of-hippo,Augustine of Hippo,Augustine_of_Hippo,354,Philosophy,Classical,138.5,Africa,North Africa,Algeria,Thagaste,36.286389,7.951111
