id,canonical_name,wikipedia_slug,birth_year,domain,era,llm_consensus_rank,region_macro,region_sub,birth_polity,birth_place,birth_lat,birth_lon
guru-nanak,"Guru Nanak",Guru_Nanak,1469,Religion,Medieval,237.7,"","","","","",""
rosa-luxemburg,"Rosa Luxemburg",Rosa_Luxemburg,1871,"Social Reform",Modern,240.8,"","","","","",""
livy,Livy,Livy,-59,Other,Classical,241.0,"","","","","",""
johann-sebastian-bach,"Johann Sebastian Bach",Johann_Sebastian_Bach,1685,Arts,"Early Modern",242.3,"","","","","",""
indira-gandhi,"Indira Gandhi",Indira_Gandhi,1917,Politics,Modern,244.0,"","","","","",""
thucydides,Thucydides,Thucydides,-460,Other,Classical,244.5,"","","","","",""
julius-caesar,"Julius Caesar",Julius_Caesar,-100,Politics,Classical,246.5,"","","","","",""
louis-pasteur,"Louis Pasteur",Louis_Pasteur,1822,Science,Modern,248.3,"","","","","",""
archimedes,Archimedes,Archimedes,-287,Science,Classical,248.7,"","","","","",""
kublai-khan,"Kublai Khan",Kublai_Khan,1215,Politics,Medieval,248.7,"","","","","",""
gustav-mahler,"Gustav Mahler",Gustav_Mahler,1860,Arts,Modern,249.0,"","","","","",""
jean-paul-sartre,"Jean-Paul Sartre",Jean-Paul_Sartre,1905,Arts,Modern,249.2,"","","","","",""
giordano-bruno,"Giordano Bruno",Giordano_Bruno,1548,Science,"Early Modern",250.0,"","","","","",""
george-orwell,"George Orwell",George_Orwell,1903,Arts,Modern,250.7,"","","","","",""
james-watson,"James Watson",James_Watson,1928,Science,Modern,256.3,"","","","","",""
harald-hardrada,"Harald Hardrada",Harald_Hardrada,1015,Politics,Medieval,257.0,"","","","","",""
martin-luther,"Martin Luther",Martin_Luther,1483,Religion,Medieval,259.4,"","","","","",""
frederick-the-great,"Frederick the Great",Frederick_the_Great,1712,Politics,"Early Modern",259.9,"","","","","",""
donatello,Donatello,Donatello,1386,Arts,Medieval,260.0,"","","","","",""
li-bai,"Li Bai",Li_Bai,701,Arts,Medieval,260.0,"","","","","",""
muammar-gaddafi,"Muammar Gaddafi",Muammar_Gaddafi,1942,Politics,Modern,262.0,"","","","","",""
victor-hugo,"Victor Hugo",Victor_Hugo,1802,Arts,Modern,262.3,"","","","","",""
isabella-i-of-castile,"Isabella I of Castile",Isabella_I_of_Castile,1451,Politics,Medieval,262.5,"","","","","",""
hippocrates,Hippocrates,Hippocrates,-460,Medicine,Classical,263.2,"","","","","",""
charles-martel,"Charles Martel",Charles_Martel,688,Other,Medieval,263.3,"","","","","",""
tokugawa-ieyasu,"Tokugawa Ieyasu",Tokugawa_Ieyasu,1542,Other,"Early Modern",265.5,"","","","","",""
george-bernard-shaw,"George Bernard Shaw",George_Bernard_Shaw,1856,Arts,Modern,266.0,"","","","","",""
sima-qian,"Sima Qian",Sima_Qian,-145,Other,Classical,266.3,"","","","","",""
omar-khayyam,"Omar Khayyam",Omar_Khayyam,1048,Science,Medieval,269.5,"","","","","",""
ada-lovelace,"Ada Lovelace",Ada_Lovelace,1815,Science,Modern,273.0,"","","","","",""
pope-urban-ii,"Pope Urban II",Pope_Urban_II,1042,Religion,Medieval,273.2,"","","","","",""
zheng-he,"Zheng He",Zheng_He,1387,Exploration,Medieval,274.9,"","","","","",""
hans-christian-andersen,"Hans Christian Andersen",Hans_Christian_Andersen,1805,Arts,Modern,275.5,"","","","","",""
xenophon,Xenophon,Xenophon,-430,Other,Classical,282.0,"","","","","",""
simone-de-beauvoir,"Simone de Beauvoir",Simone_de_Beauvoir,1908,Arts,Modern,284.3,"","","","","",""
du-fu,"Du Fu",Du_Fu,712,Arts,Medieval,287.0,"","","","","",""
david-ben-gurion,"David Ben-Gurion",David_Ben-Gurion,1886,Politics,Modern,287.0,"","","","","",""
johannes-gutenberg,"Johannes Gutenberg",Johannes_Gutenberg,1394,Science,Medieval,287.3,"","","","","",""
ibn-battuta,"Ibn Battuta",Ibn_Battuta,1304,Exploration,Medieval,292.0,"","","","","",""
ludwig-mies-van-der-rohe,"Ludwig Mies van der Rohe",Ludwig_Mies_van_der_Rohe,1886,Other,Modern,298.0,"","","","","",""
s-ren-kierkegaard,"Søren Kierkegaard","Søren_Kierkegaard",1813,Philosophy,Modern,298.3,"","","","","",""
emperor-meiji,"Emperor Meiji",Emperor_Meiji,1852,Politics,Modern,301.0,"","","","","",""
frida-kahlo,"Frida Kahlo",Frida_Kahlo,1907,Arts,Modern,301.2,"","","","","",""
theodora,Theodora,Theodora_(6th_century),500,Other,Medieval,302.3,"","","","","",""
nikola-tesla,"Nikola Tesla",Nikola_Tesla,1856,Science,Modern,304.0,"","","","","",""
hatshepsut,Hatshepsut,Hatshepsut,-1507,Politics,Ancient,304.0,"","","","","",""
hokusai,Hokusai,Hokusai,1760,Arts,"Early Modern",310.0,"","","","","",""
nostradamus,Nostradamus,Nostradamus,1503,Other,"Early Modern",314.0,"","","","","",""
giuseppe-garibaldi,"Giuseppe Garibaldi",Giuseppe_Garibaldi,1807,Politics,Modern,316.3,"","","","","",""
akira-kurosawa,"Akira Kurosawa",Akira_Kurosawa,1910,Other,Modern,317.3,"","","","","",""
andy-warhol,"Andy Warhol",Andy_Warhol,1928,Arts,Modern,319.3,"","","","","",""
haile-selassie,"Haile Selassie",Haile_Selassie,1892,Politics,Modern,320.0,"","","","","",""
khalid-ibn-al-walid,"Khalid ibn al-Walid",Khalid_ibn_al-Walid,592,Other,Medieval,321.0,"","","","","",""
che-guevara,"Che Guevara",Che_Guevara,1928,"Social Reform",Modern,321.8,"","","","","",""
amerigo-vespucci,"Amerigo Vespucci",Amerigo_Vespucci,1454,Exploration,Medieval,323.0,"","","","","",""
sun-yat-sen,"Sun Yat-sen",Sun_Yat-sen,1866,Politics,Modern,324.0,"","","","","",""
leo-tolstoy,"Leo Tolstoy",Leo_Tolstoy,1828,Arts,Modern,325.3,"","","","","",""
gustave-eiffel,"Gustave Eiffel",Gustave_Eiffel,1832,Science,Modern,327.0,"","","","","",""
charles-babbage,"Charles Babbage",Charles_Babbage,1791,Science,"Early Modern",327.8,"","","","","",""
rabindranath-tagore,"Rabindranath Tagore",Rabindranath_Tagore,1861,Arts,Modern,329.8,"","","","","",""
madonna,Madonna,Madonna_(entertainer),1958,Arts,Contemporary,333.0,"","","","","",""
