id,canonical_name,wikipedia_slug,birth_year,domain,era,llm_consensus_rank,region_macro,region_sub,birth_polity,birth_place,birth_lat,birth_lon
thucydides,Thucydides,Thucydides,-460,Other,Classical,244.5,Europe,Southern Europe,Greece,Alimos Municipality,37.91033,23.72361
julius-caesar,Julius Caesar,Julius_Caesar,-100,Politics,Classical,246.5,Europe,Southern Europe,Italy,Rome,41.893055555556,12.482777777778
louis-pasteur,Louis Pasteur,Louis_Pasteur,1822,Science,Modern,248.3,Europe,Western Europe,France,Dole,47.092222222222,5.4897222222222
archimedes,Archimedes,Archimedes,-287,Science,Classical,248.7,Europe,Southern Europe,Ancient Rome,ancient Syracuse,37.083333333333,15.283333333333
kublai-khan,Kublai Khan,Kublai_Khan,1215,Politics,Medieval,248.7,Asia,East Asia,Yuan dynasty,Mongol Empire,47.1,109.16666666666667
gustav-mahler,Gustav Mahler,Gustav_Mahler,1860,Arts,Modern,249.0,Europe,Eastern Europe,Czech Republic,Kaliště,49.592655395272,15.304099440745
jean-paul-sartre,Jean-Paul Sartre,Jean-Paul_Sartre,1905,Arts,Modern,249.2,Europe,Western Europe,France,Paris,48.85666666666667,2.352222222222222
giordano-bruno,Giordano Bruno,Giordano_Bruno,1548,Science,Early Modern,250.0,Europe,Southern Europe,Italy,Nola,40.933333333333,14.533333333333
george-orwell,George Orwell,George_Orwell,1903,Arts,Modern,250.7,Asia,South Asia,India,Motihari,26.65,84.916666666667
james-watson,James Watson,James_Watson,1928,Science,Modern,256.3,Americas,North America,United States,Chicago,41.88194444444444,-87.62777777777778
harald-hardrada,Harald Hardrada,Harald_Hardrada,1015,Politics,Medieval,257.0,Europe,Northern Europe,Norway,Ringerike,60.205280555555554,10.1525
martin-luther,Martin Luther,Martin_Luther,1483,Religion,Medieval,259.4,Europe,Western Europe,Germany,Eisleben,51.516666666667,11.55
frederick-the-great,Frederick the Great,Frederick_the_Great,1712,Politics,Early Modern,259.9,Europe,Western Europe,Margraviate of Brandenburg,Berlin,52.516666666667,13.383333333333
donatello,Donatello,Donatello,1386,Arts,Medieval,260.0,Europe,Southern Europe,Kingdom of Italy,Florence,43.771388888889,11.254166666667
li-bai,Li Bai,Li_Bai,701,Arts,Medieval,260.0,Asia,East Asia,Kyrgyzstan,Suyab,42.8,75.2667
muammar-gaddafi,Muammar Gaddafi,Muammar_Gaddafi,1942,Politics,Modern,262.0,Africa,North Africa,Libya,Qasr Abu Hadi,31.059444444444,16.658888888889
victor-hugo,Victor Hugo,Victor_Hugo,1802,Arts,Modern,262.3,Europe,Western Europe,France,Besançon,47.242222222222,6.0213888888889
isabella-i-of-castile,Isabella I of Castile,Isabella_I_of_Castile,1451,Politics,Medieval,262.5,Europe,Southern Europe,Spain,Monasterio de Nuestra Señora de Gracia,41.08695833,-4.99574722
hippocrates,Hippocrates,Hippocrates,-460,Medicine,Classical,263.2,Europe,Southern Europe,Greece,Kos,36.815277777778,27.110277777778
charles-martel,Charles Martel,Charles_Martel,688,Other,Medieval,263.3,Europe,Western Europe,Belgium,Herstal,50.6644,5.63
tokugawa-ieyasu,Tokugawa Ieyasu,Tokugawa_Ieyasu,1542,Other,Early Modern,265.5,Asia,East Asia,Japan,Okazaki Castle,34.956388888889,137.15888888889
george-bernard-shaw,George Bernard Shaw,George_Bernard_Shaw,1856,Arts,Modern,266.0,Europe,Northern Europe,United Kingdom of Great Britain and Ireland,Dublin,53.34972222222222,-6.260277777777778
sima-qian,Sima Qian,Sima_Qian,-145,Other,Classical,266.3,Asia,East Asia,People's Republic of China,Hejin,35.59136,110.70598
omar-khayyam,Omar Khayyam,Omar_Khayyam,1048,Science,Medieval,269.5,Asia,Western Asia,Iran,Nishapur,36.21333333333333,58.795833333333334
ada-lovelace,Ada Lovelace,Ada_Lovelace,1815,Science,Modern,273.0,Europe,Northern Europe,Roman Empire,London,51.507222222222,-0.1275
pope-urban-ii,Pope Urban II,Pope_Urban_II,1042,Religion,Medieval,273.2,Europe,Western Europe,France,Châtillon-sur-Marne,49.099722222222,3.7575
zheng-he,Zheng He,Zheng_He,1387,Exploration,Medieval,274.9,Asia,East Asia,People's Republic of China,Kunming,25.043333333333,102.70611111111
hans-christian-andersen,Hans Christian Andersen,Hans_Christian_Andersen,1805,Arts,Modern,275.5,Europe,Northern Europe,Denmark,Odense,55.4,10.383333333333
xenophon,Xenophon,Xenophon,-430,Other,Classical,282.0,Europe,Southern Europe,Classical Athens,Erchia,37.9672025,23.9186855
simone-de-beauvoir,Simone de Beauvoir,Simone_de_Beauvoir,1908,Arts,Modern,284.3,Europe,Western Europe,France,Paris,48.85666666666667,2.352222222222222
du-fu,Du Fu,Du_Fu,712,Arts,Medieval,287.0,Asia,East Asia,People's Republic of China,Gongyi,34.75128,112.98541
david-ben-gurion,David Ben-Gurion,David_Ben-Gurion,1886,Politics,Modern,287.0,Europe,Eastern Europe,Poland,Płońsk,52.623333333333335,20.37527777777778
johannes-gutenberg,Johannes Gutenberg,Johannes_Gutenberg,1394,Science,Medieval,287.3,Europe,Western Europe,Germany,Mainz,49.99944444444444,8.27361111111111
ibn-battuta,Ibn Battuta,Ibn_Battuta,1304,Exploration,Medieval,292.0,Africa,North Africa,Morocco,Tangier,35.776666666666664,-5.803888888888888
ludwig-mies-van-der-rohe,Ludwig Mies van der Rohe,Ludwig_Mies_van_der_Rohe,1886,Other,Modern,298.0,Europe,Western Europe,Germany,Aachen,50.776207,6.083788
s-ren-kierkegaard,Søren Kierkegaard,Søren_Kierkegaard,1813,Philosophy,Modern,298.3,Europe,Northern Europe,Denmark,Copenhagen,55.676111111111,12.568888888889
emperor-meiji,Emperor Meiji,Emperor_Meiji,1852,Politics,Modern,301.0,Asia,East Asia,Japan,Site of the Nakayama Residence,,
frida-kahlo,Frida Kahlo,Frida_Kahlo,1907,Arts,Modern,301.2,Americas,Mesoamerica & Caribbean,Mexico,Mexico City,19.353773,-99.13589
theodora,Theodora,Theodora_(6th_century),500,Other,Medieval,302.3,,,,,,
nikola-tesla,Nikola Tesla,Nikola_Tesla,1856,Science,Modern,304.0,Europe,Eastern Europe,Croatia,Smiljan,44.5643,15.3181
hatshepsut,Hatshepsut,Hatshepsut,-1507,Politics,Ancient,304.0,Africa,North Africa,Egypt,Thebes,25.720555555556,32.610277777778
hokusai,Hokusai,Hokusai,1760,Arts,Early Modern,310.0,Asia,East Asia,Japan,Honjo,,
nostradamus,Nostradamus,Nostradamus,1503,Other,Early Modern,314.0,Europe,Western Europe,France,Saint-Rémy-de-Provence,43.789444444444,4.8316666666667
giuseppe-garibaldi,Giuseppe Garibaldi,Giuseppe_Garibaldi,1807,Politics,Modern,316.3,Europe,Western Europe,France,Nice,43.701944444444,7.2683333333333
akira-kurosawa,Akira Kurosawa,Akira_Kurosawa,1910,Other,Modern,317.3,Asia,East Asia,Japan,Ōi,35.60191666666667,139.73655555555555
andy-warhol,Andy Warhol,Andy_Warhol,1928,Arts,Modern,319.3,Americas,North America,United States,Pittsburgh,40.44166666666667,-80
haile-selassie,Haile Selassie,Haile_Selassie,1892,Politics,Modern,320.0,Africa,East Africa,Ethiopia,Ejersa Goro,9.48333,42.2333
khalid-ibn-al-walid,Khalid ibn al-Walid,Khalid_ibn_al-Walid,592,Other,Medieval,321.0,Asia,Western Asia,Saudi Arabia,Mecca,21.4225,39.826111111111
che-guevara,Che Guevara,Che_Guevara,1928,Social Reform,Modern,321.8,Americas,South America,Argentina,Rosario,-32.9575,-60.639444444444
amerigo-vespucci,Amerigo Vespucci,Amerigo_Vespucci,1454,Exploration,Medieval,323.0,Europe,Southern Europe,Kingdom of Italy,Florence,43.771388888889,11.254166666667
sun-yat-sen,Sun Yat-sen,Sun_Yat-sen,1866,Politics,Modern,324.0,Asia,East Asia,People's Republic of China,Cuiheng,22.444666666667,113.53673611111
leo-tolstoy,Leo Tolstoy,Leo_Tolstoy,1828,Arts,Modern,325.3,Europe,Eastern Europe,Russia,Yasnaya Polyana,54.075127,37.526385
gustave-eiffel,Gustave Eiffel,Gustave_Eiffel,1832,Science,Modern,327.0,Europe,Western Europe,France,Dijon,47.323055555556,5.0419444444444
charles-babbage,Charles Babbage,Charles_Babbage,1791,Science,Early Modern,327.8,Europe,Northern Europe,Roman Empire,London,51.507222222222,-0.1275
rabindranath-tagore,Rabindranath Tagore,Rabindranath_Tagore,1861,Arts,Modern,329.8,Asia,South Asia,India,Kolkata,22.5675,88.37
madonna,Madonna,Madonna_(entertainer),1958,Arts,Contemporary,333.0,,,,,,
